"mode","zeit","kosten","geschlecht","umsteigen"
1,10.0,40.0,2,2.0
1,25.0,30.0,1,2.0
1,40.0,50.0,2,3.0
1,45.0,20.0,2,3.0
1,5.0,20.0,2,1.0
1,15.0,40.0,2,1.0
1,45.0,30.0,2,4.0
1,25.0,50.0,2,2.0
1,25.0,20.0,2,2.0
1,6.0,20.0,1,1.0
1,-5.0,40.0,2,0.0
1,25.0,30.0,1,2.0
1,27.0,50.0,1,3.0
1,5.0,20.0,2,1.0
1,23.0,20.0,2,2.0
1,-5.0,15.0,2,0.0
1,23.0,20.0,1,2.0
1,24.0,15.0,2,2.0
1,60.0,50.0,1,5.0
1,40.0,30.0,2,3.0
1,30.0,40.0,2,3.0
1,10.0,10.0,2,1.0
1,25.0,25.0,1,3.0
1,22.0,15.0,1,2.0
1,27.0,10.0,2,2.0
1,15.0,15.0,2,2.0
1,35.0,40.0,1,4.0
1,-5.0,10.0,1,0.0
1,25.0,30.0,2,2.0
1,9.0,15.0,2,1.0
1,24.0,10.0,2,2.0
1,22.0,15.0,2,2.0
1,-5.0,10.0,1,0.0
1,20.0,25.0,1,1.0
1,30.0,20.0,2,3.0
1,45.0,30.0,1,3.0
1,25.0,20.0,2,2.0
1,25.0,30.0,2,2.0
1,10.0,10.0,2,1.0
1,30.0,25.0,2,2.0
1,35.0,30.0,2,3.0
1,15.0,20.0,1,1.0
1,5.0,15.0,2,0.0
1,30.0,15.0,2,2.0
1,35.0,30.0,1,3.0
1,20.0,25.0,1,2.0
1,25.0,10.0,1,2.0
1,20.0,20.0,2,2.0
1,40.0,20.0,2,4.0
1,25.0,15.0,2,3.0
1,50.0,50.0,2,4.0
1,20.0,30.0,1,2.0
1,35.0,10.0,2,3.0
1,20.0,20.0,2,1.0
1,50.0,15.0,1,5.0
0,5.0,20.0,1,0.0
0,15.0,15.0,2,2.0
0,4.0,10.0,2,1.0
0,-5.0,20.0,2,0.0
0,7.0,15.0,1,1.0
0,3.0,10.0,1,0.0
0,5.0,15.0,2,0.0
0,9.0,20.0,1,1.0
0,20.0,45.0,1,2.0
0,35.0,20.0,1,3.0
0,15.0,30.0,1,2.0
0,-4.0,10.0,2,0.0
0,10.0,15.0,2,1.0
0,-6.0,10.0,2,0.0
0,10.0,20.0,1,2.0
0,12.0,15.0,1,1.0
0,8.0,25.0,1,1.0
0,25.0,30.0,2,2.0
0,15.0,30.0,1,1.0
0,5.0,15.0,2,0.0
0,9.0,10.0,2,1.0
0,6.0,25.0,2,1.0
0,10.0,15.0,1,1.0
0,15.0,20.0,1,2.0
0,8.0,10.0,2,1.0
0,0.0,15.0,1,0.0
0,6.0,10.0,1,1.0
0,3.0,10.0,2,1.0
0,-5.0,15.0,2,0.0
0,-10.0,10.0,1,0.0
0,-15.0,30.0,2,0.0
0,15.0,40.0,1,2.0
0,9.0,15.0,1,1.0
0,5.0,10.0,1,0.0
0,8.0,12.0,2,1.0
0,16.0,35.0,2,2.0
0,15.0,20.0,1,1.0
0,20.0,30.0,2,2.0
0,-3.0,10.0,2,0.0
0,20.0,45.0,1,2.0
0,25.0,35.0,1,2.0
0,15.0,20.0,1,1.0
0,-10.0,10.0,1,0.0
0,8.0,10.0,1,1.0
0,15.0,20.0,2,1.0
0,20.0,30.0,2,2.0
0,25.0,40.0,1,2.0
0,15.0,25.0,1,1.0
0,20.0,30.0,2,2.0
0,10.0,15.0,2,1.0
0,15.0,20.0,1,2.0
0,5.0,10.0,1,0.0
0,-10.0,10.0,1,0.0
0,8.0,10.0,2,1.0
0,0.0,10.0,1,0.0
0,25.0,40.0,1,2.0
0,8.0,20.0,2,1.0
0,20.0,25.0,1,2.0
0,14.0,25.0,2,1.0
0,8.0,10.0,2,1.0
0,4.0,10.0,2,0.0
0,6.0,10.0,1,0.0
0,7.0,15.0,1,1.0
0,5.0,10.0,2,0.0
